month,passengers
2000-01-01,46492
2000-02-01,48526
2000-03-01,58764
2000-04-01,56033
2000-05-01,58201
2000-06-01,61073
2000-07-01,62582
2000-08-01,61355
2000-09-01,52222
2000-10-01,56555
2000-11-01,54959
2000-12-01,52520
2001-01-01,49618
2001-02-01,48129
2001-03-01,59121
2001-04-01,56602
2001-05-01,56962
2001-06-01,59887
2001-07-01,62655
2001-08-01,63238
2001-09-01,34608
2001-10-01,44031
2001-11-01,44678
2001-12-01,45536
2002-01-01,43285
2002-02-01,43003
2002-03-01,54000
2002-04-01,50458
2002-05-01,52401
2002-06-01,54944
2002-07-01,57386
2002-08-01,57559
2002-09-01,45225
2002-10-01,53155
2002-11-01,49716
2002-12-01,55044
2003-01-01,48238
2003-02-01,45696
2003-03-01,55298
2003-04-01,51594
2003-05-01,53971
2003-06-01,57844
2003-07-01,62277
2003-08-01,60488
2003-09-01,49318
2003-10-01,55147
2003-11-01,52190
2003-12-01,55407
2004-01-01,49381
2004-02-01,50528
2004-03-01,60261
2004-04-01,59197
2004-05-01,59081
2004-06-01,63643
2004-07-01,67097
2004-08-01,64676
2004-09-01,53341
2004-10-01,60063
2004-11-01,57445
2004-12-01,58978
2005-01-01,54435
2005-02-01,52858
2005-03-01,66099
2005-04-01,61567
2005-05-01,64185
2005-06-01,67138
2005-07-01,70575
2005-08-01,66841
2005-09-01,56820
2005-10-01,59898
2005-11-01,58707
2005-12-01,59505
2006-01-01,55597
2006-02-01,53350
2006-03-01,65838
2006-04-01,63175
2006-05-01,64450
2006-06-01,67229
2006-07-01,69508
2006-08-01,66478
2006-09-01,56426
2006-10-01,61645
2006-11-01,60293
2006-12-01,60734
2007-01-01,57138
2007-02-01,54094
2007-03-01,67170
2007-04-01,64884
2007-05-01,66774
2007-06-01,69687
2007-07-01,72404
2007-08-01,71343
2007-09-01,59209
2007-10-01,64177
2007-11-01,61906
2007-12-01,60837
2008-01-01,57710
2008-02-01,57051
2008-03-01,67725
2008-04-01,63197
2008-05-01,66028
2008-06-01,67956
2008-07-01,70474
2008-08-01,67828
2008-09-01,54233
2008-10-01,59673
2008-11-01,54056
2008-12-01,57383
2009-01-01,51808
2009-02-01,49843
2009-03-01,60977
2009-04-01,59541
2009-05-01,59745
2009-06-01,63576
2009-07-01,68109
2009-08-01,65032
2009-09-01,54678
2009-10-01,58810
2009-11-01,54835
2009-12-01,56945
2010-01-01,52552
2010-02-01,48682
2010-03-01,62219
2010-04-01,59659
2010-05-01,61468
2010-06-01,65012
2010-07-01,68434
2010-08-01,66253
2010-09-01,57352
2010-10-01,62124
2010-11-01,58157
2010-12-01,58583
2011-01-01,53691
2011-02-01,50078
2011-03-01,63578
2011-04-01,60531
2011-05-01,63853
2011-06-01,66244
2011-07-01,69911
2011-08-01,66299
2011-09-01,58068
2011-10-01,61203
2011-11-01,58271
2011-12-01,59070
2012-01-01,54442
2012-02-01,53106
2012-03-01,64462
2012-04-01,61495
2012-05-01,63679
2012-06-01,66609
2012-07-01,69188
2012-08-01,67756
2012-09-01,57421
2012-10-01,60931
2012-11-01,58739
2012-12-01,58872
2013-01-01,55347
2013-02-01,52493
2013-03-01,65099
2013-04-01,60983
2013-05-01,64785
2013-06-01,67075
2013-07-01,69218
2013-08-01,67726
2013-09-01,58194
2013-10-01,62160
2013-11-01,57598
2013-12-01,62492
2014-01-01,55811
2014-02-01,52441
2014-03-01,66444
2014-04-01,63484
2014-05-01,66510
2014-06-01,68599
2014-07-01,71889
2014-08-01,69531
2014-09-01,59992
2014-10-01,64492
2014-11-01,59738
2014-12-01,63778
2015-01-01,57783
2015-02-01,54160
2015-03-01,68200
2015-04-01,65919
2015-05-01,68925
2015-06-01,71266
2015-07-01,75634
2015-08-01,72866
2015-09-01,63741
2015-10-01,68733
2015-11-01,64589
2015-12-01,66402
2016-01-01,60808
2016-02-01,58497
2016-03-01,70555
2016-04-01,67236
2016-05-01,71515
2016-06-01,74502
2016-07-01,76886
2016-08-01,73450
2016-09-01,66477
2016-10-01,69539
2016-11-01,66591
2016-12-01,67983
2017-01-01,62621
2017-02-01,58377
2017-03-01,72962
2017-04-01,70262
2017-05-01,73679
2017-06-01,77009
2017-07-01,79816
2017-08-01,77102
2017-09-01,64917
2017-10-01,72704
2017-11-01,69630
2017-12-01,70329
2018-01-01,64428
2018-02-01,61715
2018-03-01,76290
2018-04-01,73631
2018-05-01,77296
2018-06-01,80884
2018-07-01,83962
2018-08-01,80988
2018-09-01,68702
2018-10-01,75505
2018-11-01,72738
2018-12-01,72884
2019-01-01,67018
2019-02-01,63577
2019-03-01,80211
2019-04-01,76427
2019-05-01,81348
2019-06-01,83840
2019-07-01,86957
2019-08-01,83784
2019-09-01,72590
2019-10-01,78617
2019-11-01,73074
2019-12-01,79302
